Measurement	Replication	Name	Count	Experiment	Module	
"""hops=4, cl=true"""	#11	packetSent:vector(packetBytes)	7146	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#11	packetReceived:vector(packetBytes)	21389	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#11	packetSent:vector(packetBytes)	7124	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#14	packetSent:vector(packetBytes)	7145	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#10	packetReceived:vector(packetBytes)	21387	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#17	packetSent:vector(packetBytes)	7102	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#17	packetSent:vector(packetBytes)	7136	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#17	packetReceived:vector(packetBytes)	21387	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#17	packetSent:vector(packetBytes)	7150	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#14	packetSent:vector(packetBytes)	7095	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#14	packetSent:vector(packetBytes)	7087	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#4	packetSent:vector(packetBytes)	429	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#13	packetReceived:vector(packetBytes)	21338	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#16	packetSent:vector(packetBytes)	426	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#3	packetSent:vector(packetBytes)	7138	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#12	packetSent:vector(packetBytes)	7113	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#17	packetSent:vector(packetBytes)	430	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#17	packetSent:vector(packetBytes)	430	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#14	packetSent:vector(packetBytes)	434	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#14	packetSent:vector(packetBytes)	427	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#14	packetReceived:vector(packetBytes)	1287	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#14	packetSent:vector(packetBytes)	426	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#6	packetSent:vector(packetBytes)	7125	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#6	packetSent:vector(packetBytes)	7127	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#6	packetReceived:vector(packetBytes)	21368	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#6	packetSent:vector(packetBytes)	7124	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#12	packetSent:vector(packetBytes)	7141	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#1	packetReceived:vector(packetBytes)	21381	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#12	packetReceived:vector(packetBytes)	21392	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#12	packetSent:vector(packetBytes)	7139	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#2	packetSent:vector(packetBytes)	428	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#2	packetSent:vector(packetBytes)	431	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#1	packetSent:vector(packetBytes)	7146	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#15	packetReceived:vector(packetBytes)	1280	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#15	packetSent:vector(packetBytes)	427	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#1	packetSent:vector(packetBytes)	7117	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#1	packetSent:vector(packetBytes)	429	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#1	packetSent:vector(packetBytes)	427	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#0	packetReceived:vector(packetBytes)	1284	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#2	packetSent:vector(packetBytes)	428	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#2	packetReceived:vector(packetBytes)	857	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#10	packetSent:vector(packetBytes)	432	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#10	packetReceived:vector(packetBytes)	1288	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#10	packetSent:vector(packetBytes)	427	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#10	packetSent:vector(packetBytes)	429	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#13	packetSent:vector(packetBytes)	431	HumidityMonitoring	Branches.host4.app[0]	
