Measurement	Replication	Name	Count	Mean	Min	Max	Experiment	
"""hops=3, cl=false"""	#12	endToEndDelay:vector	21395	0.7764909692647305	0.23413411695	4.182612313284	SmokeAlarm	
"""hops=3, cl=false"""	#13	endToEndDelay:vector	21409	0.7172978000834239	0.113947852095	4.591466045697	SmokeAlarm	
"""hops=3, cl=false"""	#4	endToEndDelay:vector	21365	0.7256382475873691	0.164082941664	3.897056928192	SmokeAlarm	
"""hops=3, cl=false"""	#18	endToEndDelay:vector	21382	0.7462146585717147	0.264062787596	4.049289319774	SmokeAlarm	
"""hops=3, cl=false"""	#1	endToEndDelay:vector	21343	0.9338220308179893	0.284015821136	10.777342561242	SmokeAlarm	
"""hops=3, cl=false"""	#9	endToEndDelay:vector	21404	0.9645014157208166	0.303954627193	6.325541748374	SmokeAlarm	
"""hops=3, cl=false"""	#11	endToEndDelay:vector	21359	0.7456365514481005	0.134016544744	5.827348949046	SmokeAlarm	
"""hops=3, cl=false"""	#17	endToEndDelay:vector	21329	0.7902206061287494	0.113948862989	6.353686165563	SmokeAlarm	
"""hops=3, cl=false"""	#8	endToEndDelay:vector	21375	1.0227253956424276	0.294010648767	4.492550781294	SmokeAlarm	
"""hops=3, cl=false"""	#2	endToEndDelay:vector	21369	0.6656493413355694	0.074195805479	3.767780435169	SmokeAlarm	
"""hops=3, cl=false"""	#16	endToEndDelay:vector	21394	0.7358431727760868	0.104005873732	5.254113289087	SmokeAlarm	
"""hops=3, cl=false"""	#6	endToEndDelay:vector	21377	0.657988331762257	0.203985851935	5.203890225141	SmokeAlarm	
"""hops=3, cl=false"""	#0	endToEndDelay:vector	21396	0.5969739930186407	0.024104255049	3.552882042989	SmokeAlarm	
"""hops=3, cl=false"""	#19	endToEndDelay:vector	21392	0.8140644797130978	0.283958958002	8.693335154529	SmokeAlarm	
"""hops=3, cl=false"""	#10	endToEndDelay:vector	21349	0.7406663750087865	0.27415167219	3.935018945923	SmokeAlarm	
"""hops=3, cl=false"""	#14	endToEndDelay:vector	21314	0.7744626947136816	0.284130290675	3.571445758118	SmokeAlarm	
"""hops=3, cl=true"""	#0	endToEndDelay:vector	1291	0.8429553368839263	0.174801903259	4.16370714925	HumidityMonitoring	
"""hops=3, cl=true"""	#3	endToEndDelay:vector	21387	0.872743152353966	0.133946413485	5.638672251503	SmokeAlarm	
"""hops=3, cl=true"""	#9	endToEndDelay:vector	21338	0.7113592310189433	0.124229921173	3.610655880869	SmokeAlarm	
"""hops=3, cl=true"""	#16	endToEndDelay:vector	21408	0.7048517852070797	0.144170504774	4.910165631332	SmokeAlarm	
"""hops=3, cl=true"""	#6	endToEndDelay:vector	1284	0.8519412048816651	0.136863256706	5.155381987462	HumidityMonitoring	
